"runtime (min)","vote_average (%)"
"92","65.97"
"132","63.32"
"115","69.51"
"104","64.68"
"130","64.71"
"105","70.24"
"22","80.22"
"133","76.81"
"91","71.62"
"116","59.1"
"179","84.2"
"102","80.16"
"122","68.37"
"101","68.64"
"128","72.92"
"85","67.14"
"101","64.09"
"133","74.26"
"98","66.89"
"134","79.36"
"118","64.12"
"136","78.75"
"84","65.69"
"165","71.74"
"123","64.46"
"90","72"
"110","63.76"
"107","80.99"
"113","81.78"
"123","79.15"
"60","67.81"
"127","64.49"
"99","82.19"
"113","81.67"
"122","79.14"
"106","65.26"
"156","73.65"
"109","77.47"
"129","72.46"
"124","75.71"
"119","68.63"
"116","64.11"
"136","66.74"
"104","0"
"84","75"
"121","74.09"
"141","78.06"
"136","74"
"106","64.13"
"124","72.54"
"60","53"
"107","62.92"
"97","50.37"
"127","68.81"
"105","64.05"
"122","72.39"
"94","65"
"114","66.68"
"110","68.2"
"116","58.04"
"68","81"
"110","69.96"
"130","69.3"
"100","78.92"
"173","79.46"
"102","70.14"
"149","81"
"136","67.45"
"119","72"
"110","63.82"
"109","78"
"139","71.13"
"101","78.52"
"101","67.67"
"93","58"
"92","74.5"
"89","49.32"
"113","64.82"
"137","78.57"
"124","70.01"
"95","61.38"
"400","78.88"
"130","59.24"
"106","68.06"
"118","60.63"
"137","76.12"
"92","64.35"
"91","58.38"
"105","90"
"102","68.27"
"118","50.76"
"100","73.22"
"85","72.66"
"120","63"
"116","68.19"
"91","62.79"
"161","68"
"119","70.32"
"104","63.23"
"112","68"
"90","65"
"135","66.01"
"118","77.08"
"131","69.08"
"116","71.41"
"121","79"
"119","76"
"139","66.25"
"107","69.34"
"94","60"
"117","60.01"
"105","54.59"
"133","84.14"
"98","57.84"
"131","75.84"
"114","74.58"
"161","77.08"
"91","56.68"
"130","64.09"
"125","65.24"
"128","66.36"
"91","81.43"
"92","74.09"
"74","69.69"
"106","67.96"
"143","73.64"
"134","72.08"
"108","0"
"162","71.7"
"95","58.64"
"80","73"
"114","62.45"
"0","60"
"123","60.66"
"99","70.76"
"139","80.73"
"111","56.95"
"112","64.98"
"92","66"
"140","78.4"
"135","68.54"
"169","0"
"127","63.61"
"114","68.92"
"132","71.37"
"125","63.2"
"91","69.93"
"126","78"
"44","67.82"
"99","63.98"
"115","70.91"
"102","77.28"
"112","73.67"
"88","79.06"
"134","77.54"
"110","79.28"
"110","67.26"
"90","66.07"
"101","65.43"
"85","68.6"
"131","74.43"
"120","57.58"
"109","69.65"
"99","72"
"88","60.04"
"98","63"
"97","74.16"
"87","63.75"
"95","78.06"
"94","62.46"
"115","57.96"
"93","65.44"
"97","57"
"130","67"
"82","77.5"
"78","75.56"
"170","81.61"
"111","65.93"
"169","68.37"
"130","54.9"
"63","69.02"
"139","74"
"87","60"
"86","87"
"117","77.4"
"100","68.03"
"109","61.24"
"89","57.39"
"138","72.05"
"136","72"
"100","75.44"
"100","59.58"
"89","70.5"
"109","64"
"89","47"
"93","74.87"
"118","58.76"
"126","59.39"
"124","75.5"
"140","71.4"
"115","66.65"
"91","53"
"122","73.32"
"112","74.49"
"115","79.21"
"108","79.05"
"0","53.33"
"111","71.08"
"182","68.93"
"113","59"
"143","76.58"
"132","70.54"
"132","78.98"
"107","74"
"93","61.61"
"63","72.93"
"101","76.14"
"91","60.8"
"9","100"
"57","79"
"97","43.15"
"77","80"
"104","66.61"
"92","63.27"
"120","75.18"
"94","77"
"116","76.12"
"118","67"
"146","66"
"90","67.24"
"124","68.48"
"105","64.73"
"114","64.24"
"124","71.32"
"96","72.96"
"95","79.1"
"139","71.32"
"90","63.98"
"111","63"
"121","68.07"
"101","63.58"
"105","62.55"
"114","74.05"
"91","64.61"
"119","61"
"103","63"
"188","75.97"
"110","78.93"
"139","76"
"88","54.04"
"91","67.08"
"101","70.05"
"92","72.92"
"100","71.7"
"121","76.21"
"72","69.93"
"112","75.71"
"113","64.28"
"480","70"
"98","61.85"
"93","72.91"
"108","63.64"
"116","73.34"
"101","72.08"
"163","69"
"97","67.16"
"95","69.66"
"93","64.86"
"103","85"
"146","60"
"86","65.46"
"94","55.28"
"114","75.16"
"134","77.67"
"108","73"
"110","59"
"95","61.42"
"150","71.81"
"131","80.61"
"90","82.44"
"82","67.64"
"108","69.78"
"90","58.57"
"107","64.46"
"82","67.29"
"69","63.57"
"99","71.17"
"155","61"
"92","62.67"
"120","53.32"
"118","71.1"
"119","68.91"
"90","61"
"88","59.67"
"128","74.71"
"137","81.24"
"94","75.96"
"144","72.36"
"115","82"
"74","63"
"101","61.77"
"115","71.31"
"85","58.54"
"89","68.55"
"108","65"
"105","67.07"
"129","70.8"
"103","56.33"
"100","56.54"
"108","60.58"
"86","72"
"89","65.06"
"142","62.99"
"143","63.01"
"106","81.76"
"0","65"
"95","66.73"
"104","63.64"
"92","73.75"
"154","69.29"
"86","60.21"
"115","69.67"
"133","64.74"
"112","58.81"
"149","68.54"
"87","57.01"
"140","71.54"
"115","71"
"109","65.52"
"109","75.02"
"92","78.43"
"131","59.92"
"81","50"
"48","75.98"
"166","82.83"
"110","61.8"
"83","73.93"
"129","74.1"
"115","72"
"128","75.48"
"45","70.86"
"103","78"
"108","71"
"100","67.07"
"94","66"
"60","57.13"
"118","70"
"171","71.01"
"102","43"
"115","69.2"
"108","72"
"112","64.1"
"108","61.42"
"146","66.47"
"132","60"
"132","85"
"92","63.47"
"122","74.74"
"233","79.34"
"90","67.85"
"108","68.07"
"85","59.01"
"130","66.66"
"96","50.07"
"105","69.14"
"107","60.9"
"101","50"
"99","85"
"116","66.97"
"136","74.98"
"66","62"
"38","58.75"
"102","73.37"
"120","77.46"
"121","92"
"93","57.08"
"106","65.62"
"112","73.49"
"118","72.96"
"91","66.76"
"110","66.38"
"115","61"
"109","50.64"
"95","65"
"90","73"
"107","71.44"
"108","59.72"
"108","63.65"
"91","73.88"
"118","67.94"
"95","61.84"
"84","63.39"
"83","77"
"88","73.49"
"181","82"
"99","62.28"
"115","65.33"
"108","72.16"
"111","73.91"
"101","67.87"
"99","60.82"
"89","71"
"81","65.77"
"114","77.7"
"121","68.87"
"84","74"
"106","75.39"
"177","79.43"
"89","56.82"
"120","62.28"
"116","68.58"
"125","65.83"
"134","76"
"103","52.72"
"103","67.31"
"91","51"
"130","63.73"
"111","62.33"
"88","61.53"
"102","59.59"
"86","77.95"
"95","71.05"
"112","76.43"
"119","69.2"
"154","84.89"
"129","67.13"
"100","75.45"
"110","69.86"
"104","71"
"158","65.95"
"122","71.42"
"91","58.25"
"98","77"
"104","76.13"
"106","60"
"147","75.35"
"109","64.86"
"177","63"
"109","69.76"
"93","62.27"
"92","0"
"83","79"
"110","59.98"
"92","60.11"
"104","70.71"
"95","60"
"101","64.19"
"148","78.89"
"240","78.08"
"96","59.89"
"109","69.01"
"73","0"
"50","73.29"
"106","58.59"
"98","59.53"
"123","61.13"
"88","60.99"
"108","68.9"
"126","73.2"
"97","62"
"80","75.88"
"148","67.49"
"90","77.5"
"141","78.11"
"89","64.62"
"115","68.66"
"119","65.85"
"111","55"
"48","75"
"124","73.6"
"124","72"
"98","71.65"
"135","77.62"
"60","83"
"102","52.72"
"114","62.2"
"131","80.94"
"74","61.43"
"100","63"
"93","53"
"85","82.02"
"101","55.7"
"118","65.73"
"106","72"
"108","61.6"
"64","69.99"
"85","76"
"101","60.94"
"94","60.57"
"90","56.94"
"164","75.31"
"97","50"
"143","76.65"
"98","69.88"
"105","57.11"
"109","65.12"
"120","77.38"
"105","79"
"93","64"
"94","57.07"
"127","72"
"113","76.81"
"92","62.37"
"117","70.99"
"106","67"
"105","30"
"112","74.27"
"84","58.69"
"110","58.3"
"110","73.94"
"108","70.29"
"106","54.79"
"100","62"
"155","77.83"
"98","69.31"
"125","73.51"
"93","70.8"
"146","59"
"99","58.69"
"120","74"
"158","80.72"
"105","51.92"
"131","67.48"
"105","70"
"92","52.92"
"108","73.65"
"96","74.18"
"77","57.98"
"114","57"
"82","42"
"107","60.76"
"115","74"
"134","67"
"107","60.1"
"117","67.68"
"105","67"
"102","64"
"101","76.64"
"84","67.79"
"162","78.61"
"176","81"
"112","65.09"
"181","78.42"
"106","68"
"111","63.88"
"91","78.02"
"87","69.98"
"103","59.92"
"75","79.05"
"110","59.71"
"110","51.78"
"100","63.14"
"178","75.84"
"96","60.52"
"133","74"
"116","58.25"
"32","70.99"
"102","65.94"
"242","81.2"
"94","67.55"
"100","73.75"
"148","62.29"
"169","84.54"
"94","75.24"
"107","71"
"107","74.22"
"111","62.92"
"111","74.07"
"89","86.49"
"133","69.69"
"100","66.45"
"111","79.7"
"197","75.39"
"74","75.31"
"100","65.58"
"110","73.79"
"122","67.85"
"114","74"
"135","67.57"
"102","48.61"
"86","70"
"92","63.52"
"107","65.88"
"97","56.01"
"138","71.56"
"60","59"
"91","67.23"
"117","66"
"100","70.51"
"83","59"
"58","40"
"89","40.71"
"124","64.47"
"103","53"
"90","59.57"
"136","58.17"
"94","63.31"
"93","65.45"
"127","78.47"
"60","79"
"88","73.95"
"87","71.5"
"102","60.16"
"77","67.1"
"109","59.34"
"124","58.52"
"100","0"
"122","61.55"
"102","73.84"
"96","67.97"
"98","69.21"
"76","67"
"145","72.45"
"93","48"
"114","69.75"
"115","73.36"
"100","74.78"
"82","72"
"114","58.51"
"129","66.63"
"85","66"
"108","77.69"
"107","64.57"
"118","60.22"
"125","77.59"
"106","64"
"0","72.73"
"154","75.9"
"147","60.85"
"97","69"
"122","63.46"
"120","74.6"
"102","67.2"
"109","51.25"
"105","66.7"
"96","74.71"
"79","71.73"
"92","64.45"
"89","50"
"93","72"
"132","66.72"
"80","61"
"90","57.81"
"117","66.31"
"113","75"
"113","63.71"
"116","73.15"
"95","66.32"
"69","85"
"113","66.78"
"116","64.46"
"125","71.46"
"60","67"
"97","72.24"
"104","59"
"122","60.1"
"84","54.75"
"147","70.63"
"96","67.41"
"82","59.34"
"96","69.32"
"95","65.29"
"156","78"
"102","55.9"
"155","82.19"
"111","60.56"
"132","68.39"
"100","73.46"
"100","70.65"
"86","51.18"
"110","72.52"
"94","65.17"
"90","61.04"
"130","70.33"
"170","79.19"
"110","53.35"
"117","65.81"
"104","74.64"
"100","69.4"
"102","0"
"126","68.77"
"78","72.77"
"108","64.24"
"109","63.22"
"149","72"
"110","74.74"
"127","47.6"
"81","58.98"
"94","73.94"
"98","71.62"
"97","81.13"
"111","69.95"
"85","77"
"95","74.64"
"124","71.72"
"133","75"
"109","77.8"
"96","68"
"113","69"
"132","65.04"
"109","58.77"
"104","65.56"
"103","56.01"
"85","55"
"119","72.83"
"89","78"
"105","77.77"
"145","66.86"
"138","78.27"
"91","75.06"
"102","71.62"
"102","76.94"
"110","56.48"
"120","82.51"
"114","72.76"
"147","78"
"91","73.99"
"68","0"
"108","68.74"
"99","57.8"
"31","70.7"
"118","68.9"
"88","73"
"107","62.14"
"142","79"
"96","58.22"
"110","69"
"114","65"
"101","70.62"
"129","68"
"6","68.52"
"158","72.42"
"119","58"
"95","65.87"
"85","83.71"
"86","80.71"
"140","75.12"
"128","69.69"
"126","75.28"
"99","63.73"
"141","73.24"
"83","84.46"
"42","59"
"146","67.85"
"118","75.14"
"137","76"
"132","66.4"
"90","81"
"139","81.93"
"127","68.85"
"135","78.55"
"117","81.24"
"97","62.64"
"105","82.04"
"126","71.99"
"127","70.97"
"161","78.9"
"105","81.33"
"134","72.91"
"96","74"
"88","46.15"
"93","65.18"
"128","76"
"165","81.82"
"103","75.75"
"108","67.39"
"110","40.54"
"91","63"
"73","67.84"
"126","71.21"
"108","66"
"100","64.2"
"112","62.53"
"118","76.15"
"147","62"
"88","0"
"145","73.88"
"94","59.46"
"72","63.7"
"90","54.29"
"121","57.23"
"95","60.97"
"26","0"
"116","83.19"
"85","75"
"123","64.58"
"98","58.18"
"122","59.18"
"98","54.83"
"98","59.04"
"114","69.66"
"84","61"
"106","78.14"
"100","80.42"
"106","70"
"118","72.73"
"103","62.66"
"162","79.84"
"140","71.62"
"91","58.22"
"103","65.17"
"92","62"
"97","67.32"
"138","76.49"
"82","70.43"
"58","80.06"
"92","57"
"94","62.17"
"116","63.95"
"124","65.46"
"85","62.21"
"75","70.12"
"80","65.45"
"133","74.21"
"93","69.29"
"105","60.55"
"103","78.14"
"143","68.6"
"102","63"
"138","68.42"
"103","61"
"118","79.4"
"95","76.72"
"127","67.42"
"127","73.41"
"111","64.31"
"95","81"
"110","75.94"
"100","77"
"100","40"
"109","61.65"
"109","59.43"
"69","78"
"110","62.95"
"158","58.51"
"115","60.59"
"89","62.63"
"91","57.82"
"118","56.28"
"120","76"
"83","53"
"144","67.79"
"133","74.3"
"89","79"
"114","50"
"78","72.16"
"150","76"
"49","68"
"105","67.4"
"141","76.92"
"138","63.29"
"98","66"
"114","76.29"
"99","73.08"
"144","80.01"
"100","74.95"
"94","76.84"
"112","58"
"96","67.98"
"126","66.39"
"121","72.21"
"90","69.49"
"122","66.98"
"102","50.69"
"131","58.65"
"100","74.55"
"130","75.36"
"109","68.02"
"73","85"
"92","65.74"
"126","67.41"
"95","67.92"
"111","67.85"
"150","66.19"
"247","80"
"39","52"
"124","71.54"
"106","53.18"
"164","71.43"
"136","75.82"
"110","81.04"
"89","68.75"
"139","64"
"121","61.21"
"122","77.32"
"106","75.6"
"96","73.06"
"81","70"
"111","71.3"
"92","68.1"
"91","56"
"92","52.51"
"73","66"
"123","65"
"113","72.67"
"104","67.64"
"99","78.84"
"134","78"
"47","67"
"103","73"
"109","67.7"
"116","68.23"
"124","64"
"111","75"
"120","73"
"106","66.11"
"129","68.1"
"98","58.6"
"117","71"
"137","68.99"
"97","72.73"
"109","66.67"
"119","79"
"107","62.3"
"104","67.14"
"120","76.29"
"118","65.45"
"117","73.57"
"134","72.81"
"145","63"
"104","81.59"
"105","73.14"
"109","69.71"
"94","55.4"
"150","63"
"118","74"
"28","0"
"105","63"
"154","77.6"
"114","68.04"
"107","61"
"88","69.31"
"142","72.15"
"103","61.81"
"134","73.4"
"114","69.07"
"89","69.86"
"97","68.1"
"151","76.07"
"102","77"
"88","56.61"
"96","64.43"
"96","66.16"
"94","64.85"
"106","69.68"
"124","68.32"
"115","70.59"
"129","65.37"
"96","71.22"
"125","65.84"
"88","75"
"125","68.09"
"112","69.42"
"103","45"
"133","70.84"
"121","73.22"
"96","47"
"183","69.36"
"88","66"
"110","60.22"
"121","73.09"
"108","66.32"
"141","73"
"94","63.14"
"112","71"
"103","54"
"124","67.1"
"123","60.85"
"129","76.01"
"91","60.22"
"91","65.26"
"93","52"
"92","65.6"
"113","75.77"
"132","73.21"
"99","60.1"
"83","59.22"
"92","67.07"
"122","80.93"
"121","67.71"
"107","62.97"
"98","65.89"
"139","70.56"
"94","78.28"
"117","67.2"
"122","62.88"
"109","62"
"139","66.47"
"93","68.11"
"119","61.91"
"92","74"
"131","62.38"
"124","66.66"
"88","72.6"
"88","70.9"
"123","61.25"
"107","61.34"
"105","74.53"
"110","0"
"97","64.95"
"85","57.04"
"103","71.75"
"24","71.49"
"119","72.03"
"122","60.96"
"106","66.76"
"158","63.49"
"137","62.78"
"97","62.83"
"142","87.09"
"91","47.83"
"121","77"
"86","61.49"
"105","57.5"
"166","75.91"
"119","68.27"
"99","74.99"
"106","63.71"
"115","67.69"
"122","71.45"
"114","75.75"
"123","65.41"
"93","52.55"
"119","66.41"
"130","63.94"
"88","73.38"
"125","70.46"
"92","70.8"
"104","66.22"
"103","68"
"103","66.12"
"96","57"
"89","68"
"31","68"
"91","66.88"
"103","72.52"
"131","79.91"
"108","67.28"
"107","74.87"
"107","75.78"
"127","80.66"
"102","69.42"
"116","73.87"
"105","0"
"91","54"
"111","73"
"104","64.76"
"110","65.23"
"91","59.88"
"125","55.07"
"100","60"
"45","69"
"91","63.32"
"107","55.37"
"135","71.07"
"147","77.26"
"106","67.64"
"98","56.48"
"100","64.21"
"125","79.7"
"124","75.01"
"83","64.12"
"103","69.14"
"131","66.04"
"51","71.34"
"98","61.06"
"82","59.5"
"127","64.9"
"112","77"
"97","74.6"
"91","65.18"
"50","66.08"
"138","76.74"
"86","74"
"123","64.8"
"97","81.4"
"90","68"
"118","80.47"
"92","67.08"
"85","72.63"
"112","63.58"
"51","49"
"116","65.8"
"122","65.94"
"102","57.64"
"108","62.76"
"147","78.88"
"189","85.04"
"87","58.46"
"146","77.42"
"71","59"
"94","63.79"
"114","78"
"107","63.72"
"75","69"
"107","57.9"
"95","62.79"
"117","66.56"
"120","76.32"
"125","43.65"
"116","72.14"
"104","79.03"
"93","70.2"
"132","78.99"
"112","68.72"
"118","74.57"
"200","75.5"
"108","76.22"
"80","76.63"
"88","54.55"
"128","71.01"
"69","60"
"138","68"
"88","62.5"
"130","76"
"120","77.88"
"122","68"
"181","80.61"
"91","61"
"116","59.86"
"126","74.41"
"98","54"
"95","58"
"129","64.9"
"160","80"
"99","66.29"
"90","67.61"
"91","58.28"
"103","66.68"
"100","73"
"62","65"
"118","72.65"
"94","51.67"
"115","64.99"
"108","66.5"
"68","67"
"122","73.87"
"124","74.54"
"91","62.1"
"90","64"
"165","73"
"144","75.56"
"86","67"
"136","65.58"
"104","68"
"149","70.49"
"92","67"
"103","56.74"
"101","56.76"
"134","62.55"
"109","80.68"
"81","74.29"
"92","66.46"
"97","61.77"
"89","60.43"
"97","63.58"
"100","59.57"
"189","77.24"
"105","78.66"
"101","69.61"
"99","71.76"
"97","61.33"
"112","68.29"
"98","74.26"
"132","68"
"100","65"
"104","59.58"
"145","81"
"84","73.04"
"130","76.87"
"77","70.72"
"91","69.59"
"137","71.4"
"95","64.97"
"88","65.28"
"104","68.68"
"122","60.49"
"112","48.54"
"75","72.95"
"117","60.12"
"90","62.07"
"84","68.28"
"131","67.33"
"125","74.86"
"89","62.17"
"105","66.94"
"117","81.63"
"90","82.22"
"113","72.59"
"136","62.57"
"120","66.11"
"87","52.49"
"99","70.33"
"117","76.36"
"79","33"
"83","73"
"115","66.76"
"155","77"
"115","67"
"88","66.24"
"126","71.43"
"97","67.47"
"61","52.73"
"52","0"
"107","61.21"
"85","47.86"
"74","62"
"112","66.38"
"92","59.13"
"104","78.64"
"179","67.44"
"95","55.84"
"131","81.78"
"97","53.93"
"125","72.18"
"102","70.82"
"115","69"
"106","72.67"
"88","50"
"109","67.57"
"120","73.33"
"104","67"
"95","66.63"
"126","76.5"
"89","74.22"
"100","72.65"
"115","68.53"
"101","61.68"
"110","58.55"
"119","75.52"
"89","62.73"
"157","75.34"
"136","70.68"
"89","59.25"
"93","59.33"
"106","72.57"
"207","85"
"131","64.21"
"118","72.12"
"123","72.42"
"125","62.87"
"83","51.29"
"119","83.97"
"84","59.63"
"89","69"
"100","61"
"113","79.94"
"95","69"
"135","62.31"
"88","63.27"
"91","72.35"
"91","73.44"
"113","65.39"
"115","70.42"
"117","69.95"
"107","60.24"
"92","71.93"
"119","64.89"
"148","70.88"
"91","61.08"
"103","78.23"
"91","68.57"
"101","70.55"
"126","61.68"
"96","75.25"
"54","61"
"127","72.91"
"110","70.57"
"86","64.29"
"100","75.09"
"97","60"
"108","54.58"
"86","68"
"110","72.85"
"90","64.79"
"88","64.86"
"89","71.98"
"113","64.38"
"92","59.79"
"117","62.8"
"105","72.02"
"104","71.7"
"111","72.72"
"0","70"
"130","66.02"
"136","67.14"
"134","60.62"
"89","57.42"
"123","72"
"131","65"
"96","63.04"
"133","79.04"
"127","68.34"
"95","68.04"
"102","75.24"
"119","63.61"
"108","64"
"94","71.62"
"179","67"
"151","81.59"
"110","78.89"
"113","67.2"
"96","71"
"123","67.85"
"55","69.79"
"64","20"
"96","79.01"
"132","64.81"
"118","67.11"
"112","68.31"
"111","79"
"161","84.63"
"128","81.61"
"76","72.44"
"129","84"
"0","90"
"23","90"
"81","73.6"
"112","74.28"
"102","64.87"
"102","56.18"
"45","67"
"87","61.54"
"99","81.04"
"109","73.57"
"117","61.58"
"94","77.62"
"98","34.62"
"105","68.15"
"122","56.08"
"0","53.64"
"14","48"
"94","69.51"
"121","81.1"
"114","72"
"90","59.46"
"125","78.68"
"95","64.31"
"109","66"
"105","63.39"
"98","65.27"
"101","64.59"
"112","66.92"
"85","70"
"123","69.4"
"138","56.71"
"137","79.52"
"143","71.34"
"83","68.11"
"96","58.35"
"101","81.1"
"140","70.53"
"80","66"
"149","67.25"
"80","76"
"88","56.46"
"135","63"
"162","73"
"102","66.9"
"105","69.35"
"121","78"
"88","58.68"
"90","0"
"100","58.26"
"110","42.61"
"108","64.1"
"127","76"
"89","65"
"119","63.28"
"97","55.72"
"103","62.46"
"101","61.38"
"90","60.01"
"117","76.39"
"142","84.68"
"159","74.99"
"93","75.78"
"80","46.67"
"91","74.92"
"96","66.36"
"105","64.14"
"138","80"
"100","68.36"
"106","61.7"
"116","57"
"144","66.55"
"114","67"
"113","73.9"
"87","69"
"93","74.97"
"115","63.14"
"109","72.44"
"145","84.56"
"102","74.03"
"134","71.05"
"112","74"
"137","68.26"
"88","53.8"
"105","66"
"96","62.36"
"98","58.61"
"110","70.18"
"95","66.55"
"114","75.96"
"95","68.64"
"106","43.33"
"122","77.24"
"109","66.79"
"35","82.38"
"87","61.22"
"87","70.1"
"132","79.55"
"93","56.84"
"101","62"
"101","59.12"
"90","69.9"
"120","67.45"
"81","78"
"109","66.31"
"93","77.43"
"102","62.48"
"163","68.2"
"106","66"
"101","63"
"91","56.71"
"118","71.47"
"114","71.96"
"115","80.58"
"109","61.58"
"101","54.77"
"98","53.29"
"119","62"
"97","67.18"
"118","71"
"125","76.14"
"100","74.21"
"94","59"
"106","57"
"92","57.33"
"117","83.97"
"117","63.83"
"119","74.48"
"136","65.76"
"100","56"
"139","70.42"
"55","75.28"
"99","60.23"
"105","55.41"
"60","75"
"117","68.69"
"127","73.94"
"135","73.73"
"129","74.45"
"124","69.57"
"130","66.43"
"114","70.18"
"110","70.71"
"134","73.38"
"140","77.12"
"86","59.47"
"102","72.99"
"116","63.07"
"103","59.31"
"91","76"
"89","63.45"
"107","66"
"84","49"
"60","63.44"
"111","70.55"
"107","69"
"109","64.63"
"99","54.89"
"74","70.42"
"95","61.88"
"114","65.88"
"88","63.64"
"26","71"
"76","65"
"112","68.67"
"97","70.88"
"114","70.93"
"98","60.13"
"93","67.81"
"130","68.89"
"124","66.53"
"100","65.41"
"104","64.14"
"124","62.05"
"91","75"
"157","75.9"
"80","73.85"
"93","57.97"
"114","74.42"
"116","71.1"
"110","60"
"121","53.08"
"103","66.76"
"96","71.97"
"102","54.19"
"48","72.23"
"171","79.99"
"111","72.01"
"109","68.79"
"97","75.56"
"89","60.24"
"97","70.44"
"91","53.42"
"102","55"
"116","66.45"
"113","71.89"
"124","75"
"126","79"
"97","61.59"
"99","60.45"
"104","72.44"
"96","61.47"
"94","70.48"
"99","69.74"
"98","75.53"
"70","70.08"
"108","66.16"
"90","73.59"
"110","66.13"
"95","72.95"
"123","63"
"99","80.71"
"122","40.6"
"84","77.31"
"90","54"
"121","75.6"
"97","71"
"101","64"
"138","76.85"
"78","73.04"
"146","82.07"
"110","68"
"117","68.42"
"156","76.27"
"124","67.98"
"101","62.25"
"133","70"
"116","71.21"
"99","74.8"
"101","64.62"
"104","61.1"
"99","61.12"
"138","70.72"
"115","74.57"
"90","72.98"
"124","73.62"
"105","78.76"
"105","70.78"
"87","59.11"
"103","70.35"
"99","68.66"
"116","46.67"
"107","70.41"
"102","74"
"100","61.25"
"136","65.22"
"92","60.34"
"117","65.64"
"113","71.28"
"72","60"
"107","69.4"
"96","56.29"
"81","72.66"
"109","65"
"104","59.61"
"84","41"
"121","56.33"
"102","67.07"
"82","66"
"75","77.41"
"96","63.5"
"80","39.31"
"97","62.71"
"132","73.16"
"100","75.81"
"113","65"
"50","57"
"86","64.08"
"129","67.34"
"127","75"
"136","66"
"105","37.5"
"158","74.52"
"92","61.82"
"82","51.96"
"109","59.71"
"119","83.87"
"136","68.63"
"120","64"
"103","63.57"
"115","64.62"
"120","73.08"
"98","80.98"
"127","74.26"
"115","64.8"
"87","62"
"94","54.13"
"153","80.04"
"111","67.64"
"121","73.69"
"101","73"
"81","69"
"116","76"
"84","72.12"
"122","66"
"153","70"
"129","73.95"
"4","68"
"158","71.08"
"125","82.98"
"127","75.22"
"115","67.43"
"118","57.79"
"102","62.49"
"104","54.29"
"138","55.65"
"100","59.77"
"131","79"
"115","63"
"126","73.18"
"149","82.35"
"121","68.86"
"60","65"
"89","52.5"
"84","66.94"
"110","65.94"
"76","75.28"
"74","67"
"195","85.65"
"141","79.77"
"151","68.36"
"85","71"
"143","72.49"
"91","74"
"87","58.23"
"147","82.72"
"96","53"
"115","60.75"
"86","60.22"
"154","60.54"
"109","62.94"
"95","64.96"
"118","54.73"
"141","65.18"
"94","65.81"
"138","82.01"
"129","61"
"92","58.08"
"99","52.15"
"100","76.07"
"89","62.03"
"86","69.08"
"117","67"
"90","62.38"
"123","78.89"
"110","58.34"
"78","72.87"
"104","54.44"
"72","68"
"111","73.28"
"93","78.66"
"117","82"
"116","65.76"
"127","69"
"86","0"
"93","60.74"
"74","72"
"100","56.86"
"112","67.6"
"112","66.58"
"102","60.86"
"115","78.95"
"96","65.95"
"102","76"
"89","65.38"
"113","58"
"107","71.71"
"187","68.85"
"138","54.47"
"106","58.95"
"133","64.05"
"60","64.32"
"112","65.16"
"130","67.15"
"122","74.3"
"126","54.49"
"108","64.5"
"118","67.01"
"104","54.9"
"98","64.56"
"124","50.61"
"135","62"
"105","57"
"113","71"
"114","61.95"
"105","63.21"
"85","67.42"
"99","81.21"
"95","74"
"83","68.61"
"94","72"
"132","66.83"
"127","68.39"
"123","71.62"
"87","55.9"
"122","71.66"
"144","74.68"
"106","71.22"
"101","60.15"
"113","74.22"
"179","84.04"
"101","63.73"
"111","67.11"
"141","69.58"
"111","58.56"
"102","61.23"
"126","77.13"
"132","74.96"
"111","74.36"
"144","82.12"
"102","74.14"
"131","62.84"
"101","76.65"
"104","72.86"
"100","61.27"
"143","75.33"
"115","77.1"
"142","66.43"
"101","61.05"
"97","67.63"
"118","59"
"119","73.04"
"96","73.83"
"167","76"
"105","62.26"
"96","80"
"228","80"
"81","65.51"
"125","61.42"
"95","74.58"
"115","62.71"
"110","65.71"
"123","77.52"
"151","73.66"
"130","79.13"
"63","13.33"
"91","57"
"80","20"
"133","62"
"222","78.89"
"83","57.35"
"93","61.1"
"96","66"
"141","66.52"
"120","77.51"
"88","82.58"
"106","69.23"
"126","71.71"
"82","71.58"
"16","0"
"112","55"
"101","59.75"
"120","72.81"
"130","78.67"
"106","55"
"102","57"
"176","64.24"
"110","74.69"
"143","71.43"
"111","62.57"
"118","63.19"
"104","61.06"
"116","71.22"
"185","78"
"105","64.15"
"99","72.84"
"137","61.62"
"105","71.59"
"134","50"
"125","67"
"104","53.87"
"123","68.33"
"89","74"
"104","66"
"141","71"
"94","63.74"
"95","72.47"
"137","73.13"
"111","70"
"69","59"
"107","62"
"112","69"
"60","20"
"111","75.83"
"133","63"
"125","70"
"87","78"
"126","65.52"
"85","65.91"
"81","73"
"118","57.12"
"118","70.91"
"127","69.23"
"105","58.92"
