"runtime (min)","vote_average (%)"
"142","73.46"
"88","71.42"
"112","71.42"
"90","67.45"
"120","63.29"
"91","68"
"123","70"
"123","77.22"
"178","77.7"
"113","63"
"152","59.78"
"135","60"
"94","80"
"120","60"
"251","70.4"
"144","73.25"
"145","70.8"
"85","45"
"133","68.66"
"86","77.85"
"105","72.1"
"129","69.71"
"177","76.56"
"89","75.33"
"106","77.41"
"158","73.75"
"97","72.37"
"154","67.32"
"116","73.83"
"87","47"
"106","78"
"110","68.01"
"105","64.29"
"94","54.69"
"108","63.25"
"126","71.89"
"91","63.61"
"23","69.72"
"182","65"
"88","60.42"
"129","79"
"148","78"
"123","75.4"
"69","66.63"
"123","69.6"
"95","72"
"118","75.45"
"89","72"
"104","65"
"88","60.84"
"115","64.75"
"134","83"
"104","68.57"
"137","68.47"
"96","70"
"121","74.26"
"104","48.52"
"95","64.13"
"169","73.89"
"99","61.38"
"150","58.73"
"96","60.07"
"129","65.19"
"0","55"
"93","62.97"
"99","63.24"
"90","66.42"
"125","73.27"
"103","71.74"
"129","58.65"
"110","75.8"
"116","72.96"
"100","63.26"
"102","66.22"
"96","68.2"
"62","79"
"109","72"
"112","83.53"
"111","73.26"
"91","71.23"
"113","71.49"
"110","80"
"109","67"
"119","67.8"
"104","70"
"116","67"
"127","60"
"193","74"
"94","63.18"
"104","62.4"
"120","59.25"
"92","56.01"
"93","56.45"
"120","67.61"
"135","61.82"
"133","67.05"
"111","73.49"
"119","64.19"
"106","79"
"104","60.98"
"102","73.12"
"124","62.86"
"118","59.53"
"150","79.48"
"106","57.85"
"142","65.75"
"110","67.29"
"88","63"
"119","68.19"
"110","59.64"
"101","59.93"
"113","60.01"
"115","67.19"
"110","68.63"
"102","63.75"
"105","71.93"
"89","65.5"
"127","70.49"
"35","64.37"
"99","46.17"
"83","77.26"
"91","43.76"
"55","72.25"
"89","61"
"102","61"
"109","60"
"84","56.22"
"91","72.25"
"101","69.82"
"153","74.3"
"124","60.4"
"92","50"
"85","80"
"86","61.74"
"96","66.56"
"59","100"
"98","63.31"
"127","69.06"
"113","62"
"101","73.42"
"101","74.01"
"93","56.57"
"103","73.95"
"109","62.81"
"145","72"
"91","71.86"
"125","70.13"
"106","65.27"
"95","65.46"
"81","74.14"
"87","32"
"178","73.48"
"103","62.12"
"110","70.17"
"86","44"
"22","60"
"121","82.04"
"113","0"
"88","68.85"
"148","65.58"
"97","52.84"
"68","68.33"
"75","63"
"104","44.46"
"124","68"
"101","56.94"
"70","72.07"
"98","65.61"
"99","77.42"
"95","68"
"109","71.25"
"82","70"
"106","80.34"
"137","78.2"
"132","69.6"
"91","73.84"
"102","66.47"
"127","59.16"
"131","74"
"89","63.83"
"128","62.17"
"90","51.9"
"108","63.31"
"94","62"
"93","56.08"
"123","68.32"
"132","66.6"
"100","60.79"
"127","66.16"
"145","73.47"
"91","65.69"
"110","63.88"
"109","76.13"
"126","68.67"
"148","79.45"
"125","64.32"
"94","71.6"
"170","77.23"
"92","65.26"
"116","71.75"
"94","61.61"
"87","25"
"85","57"
"98","59.38"
"99","58.55"
"94","62.13"
"142","70.44"
"96","75.72"
"156","60.11"
"127","64.29"
"93","49.91"
"90","53.34"
"117","65.63"
"109","73.8"
"84","53.25"
"88","48"
"140","62"
"87","63.27"
"105","59.7"
"128","63.44"
"95","57.46"
"113","63.99"
"137","77"
"88","64"
"90","56.5"
"162","71"
"108","72.52"
"113","60.91"
"117","66.81"
"105","68.25"
"0","10"
"117","78.23"
"98","67.98"
"124","59"
"132","72.79"
"48","67.54"
"121","70.64"
"109","68.69"
"99","63"
"85","68.07"
"118","62.11"
"89","51.23"
"116","70.49"
"118","0"
"105","71.33"
"79","72"
"141","72.71"
"85","65"
"133","66"
"140","73.75"
"119","66.89"
"95","51.23"
"129","66.04"
"96","51.9"
"105","68.3"
"130","61.06"
"90","63.21"
"114","75"
"110","67.05"
"102","63.26"
"100","68.51"
"145","68"
"75","72.15"
"108","74.92"
"90","57.77"
"98","69.94"
"100","59.28"
"116","71.86"
"71","68.98"
"101","65.36"
"89","62"
"107","70"
"123","72.58"
"94","79.63"
"115","62.46"
"90","75.51"
"169","73.58"
"104","71.92"
"123","66.88"
"94","53.99"
"107","79.52"
"118","68.18"
"87","49.88"
"93","48.59"
"93","62.73"
"106","70.19"
"127","65.64"
"115","69.88"
"127","75.64"
"117","53.48"
"95","70.66"
"102","65.65"
"139","60.48"
"110","56.3"
"95","66.99"
"83","71"
"122","67.97"
"112","70"
"99","60.98"
"110","55"
"92","58.55"
"90","61.52"
"161","75.71"
"120","71.91"
"103","65.15"
"144","76.34"
"44","44"
"111","56.52"
"94","61.47"
"138","75.12"
"143","70.97"
"120","61.84"
"106","67.88"
"146","74.57"
"105","72.01"
"75","50"
"103","62.25"
"143","78.09"
"133","70.57"
"122","69.34"
"128","83.01"
"111","72.49"
"132","69"
