"sum ( revenue )","budget","popularity"
"0","0","7.1343"
"25405445","7000000","9.7444"
"623933331","200000000","16.9077"
"0","0","54.0632"
"0","0","12.1897"
"0","3000000","8.8343"
"424967620","25000000","13.2822"
"4656348","5300000","8.1818"
"24849029","6000000","10.7092"
"226497209","95000000","9.5269"
"51648144","14000000","19.7719"
"40300000","30000000","12.5769"
"0","0","9.2836"
"0","0","10.5228"
"623190","70000000","12.8257"
"24793509","6500000","8.9528"
"0","0","8.2021"
"101134059","60000000","11.7919"
"37228626","0","9.5227"
"7600000","21000000","7.9089"
"0","0","37.6172"
"35500000","12000000","7.9248"
"205537933","75000000","16.5259"
"0","0","21.3443"
"119723358","38000000","8.9876"
"18500000","75000000","21.6049"
"65267446","78000000","25.316"
"26617621","0","13.0554"
"63800000","30000000","11.8041"
"149700000","60000000","9.6867"
"0","0","10.9847"
"0","0","11.4775"
"0","0","9.2883"
"48797286","15000000","27.2783"
"0","0","11.0417"
"264218220","175000000","14.5958"
"485930816","150000000","19.2156"
"0","0","14.7285"
"0","0","10.3322"
"0","0","7.8482"
"207089999","274800000","16.9425"
"81471882","30000000","11.0912"
"123200000","70000000","12.0692"
"82174034","22000000","8.5393"
"11000000","2000000","7.7794"
"530517320","150000000","11.3632"
"109676311","40000000","13.9366"
"31100000","15000000","8.4681"
"70100000","6000000","14.2426"
"57779280","44000000","11.4272"
"14600000","0","9.3876"
"1281","65500000","8.5256"
"0","0","8.0317"
"0","0","8.7322"
"64352607","30000000","9.6094"
"1451974","0","8.7551"
"25806953","22000000","9.0188"
"118587880","10000000","12.5377"
"100498764","80000000","22.1079"
"45158254","19000000","8.6869"
"177500000","50000000","15.4835"
"183953723","63000000","9.9851"
"966550600","175000000","9.7157"
"296482446","110000000","16.2794"
"0","0","326.4027"
"470653000","7000000","18.9426"
"116643421","30000000","11.3277"
"125319714","13000000","16.9458"
"467381584","190000000","16.3065"
"0","0","6.2554"
"25754775","38000000","13.3089"
"0","0","9.0601"
"124827316","40000000","11.5461"
"17325485","0","7.3368"
"20000000","55000000","21.1105"
"0","0","11.4727"
"334615000","125000000","14.4085"
"0","0","9.4795"
"6780428","4350000","55.2767"
"91036760","25000000","8.893"
"0","0","3.8788"
"1401954","0","9.7533"
"49000000","60000000","8.5326"
"171757863","60000000","8.9113"
"0","0","15.8568"
"11628645","0","12.7399"
"37553585","0","9.1237"
"152427960","30000000","11.3152"
"132800000","40000000","11.6554"
"19075720","25000000","7.9314"
"497375381","90000000","24.1994"
"16217773","3200000","8.5321"
"0","0","20.0773"
"0","0","8.1861"
"470300","0","9.1758"
"53424681","13000000","18.7827"
"0","0","8.7394"
"451900435","99000000","22.3445"
"120098945","35000000","20.887"
"112790210","18300000","11.5361"
"10000000","1200000","8.3172"
"960000","910000","8.661"
"0","0","8.1015"
"1929659","100000","7.8952"
"36964325","88000000","13.3551"
"0","0","9.0022"
"0","0","56.2605"
"136885767","45000000","12.7257"
"111037232","20000000","10.3273"
"348807090","130000000","13.3327"
"78900000","2000000","11.1117"
"59490000","17000000","10.4692"
"0","0","6.9649"
"0","0","13.2474"
"0","2800000","10.3987"
"148300000","87000000","8.9889"
"609016565","120000000","13.955"
"58100000","70000000","18.0184"
"0","0","8.4165"
"271430189","80000000","24.1174"
"119754278","16000000","12.8087"
"128769345","54000000","9.8459"
"137551594","60000000","11.9317"
"28600000","90000000","11.5013"
"21930418","2200000","9.5052"
"13416285","6300000","7.922"
"0","0","114.1075"
"36359037","4000000","7.5724"
"1453683476","150000000","10.6009"
"12371132","15000000","9.0397"
"0","0","7.4477"
"10498407","2000000","28.6426"
"104272136","80000000","12.8597"
"0","0","9.2653"
"121310840","80000000","8.571"
"749200054","175000000","7.9509"
"0","0","7.7808"
"0","0","22.4325"
"196482882","75000000","7.2927"
"0","0","7.7919"
"629400000","150000000","15.3084"
"0","0","10.0036"
"107000000","7000000","9.9065"
"26874347","65000000","12.0988"
"150406466","130000000","8.096"
"17121947","0","8.2618"
"23400000","34000000","8.3817"
"378000000","4000000","14.1305"
"0","0","20.3195"
"0","0","8.2392"
"49263404","30000000","7.5701"
"2183539","10000000","24.3993"
"0","0","7.0661"
